"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","1994","1994",2.4,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","1995","1995",4,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","1996","1996",4.1,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","1997","1997",2.6,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","1998","1998",2.5,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","1999","1999",2.3,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2000","2000",3.3,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2001","2001",2.7,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2002","2002",2.5,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2003","2003",2.8,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2005","2005",2.7,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2006","2006",2.3,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2007","2007",3.6,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2008","2008",3,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2009","2009",3.5,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2010","2010",3.7,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2011","2011",4,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2012","2012",2.3,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2013","2013",4,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2014","2014",2.3,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2015","2015",3.4,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2016","2016",3.3,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2017","2017",2.1,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2018","2018",2.4,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2019","2019",2.5,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2020","2020",2.4,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2021","2021",2.3,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","2022","2022",2.2,,
